university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
universidad de palermo	licenciatura en ciencias de la educación	2021-01-16	lori	richards	female	38	4235	albigasta	hickscarol@yahoo.com
universidad de palermo	farmacia	2021-01-21	james	webster	male	36	4631	antiguo	jason76@hotmail.com
universidad de palermo	farmacia	2021-01-14	penny	sandoval	female	21	2508	armstrong	lawrenceboyd@hotmail.com
universidad de palermo	ingeniería electrónica	2021-01-01	anthony	brown	male	21	2318	aurelia	iquinn@gmail.com
universidad de palermo	licenciatura en ciencias antropológicas	2021-01-06	colleen	lewis	female	21	4518	aguas calientes	jenniferyoung@yahoo.com
universidad de palermo	agronomía	2021-01-22	christina	martin	female	21	1921	alvarez jonte	kimberlydoyle@yahoo.com
universidad de palermo	técnico para bioterios	2021-01-11	christina	cruz	female	21	5607	colonia bombal y tabanera	jon54@hotmail.com
universidad de palermo	licenciatura en ciencia política	2021-01-29	casey	blanchard	female	21	1602	florida	wweeks@yahoo.com
universidad de palermo	licenciatura en relaciones del trabajo	2021-01-08	timothy	cantu	male	21	1874	villa dominico	christopherjackson@hotmail.com
universidad de palermo	licenciatura en relaciones del trabajo	2021-01-26	lawrence	moore	male	21	5605	calle larga vieja	zcarter@yahoo.com
universidad de palermo	licenciatura en terapia ocupacional	2021-01-14	thomas	burton	male	21	2246	barrancas	amanda88@gmail.com
universidad de palermo	licenciatura en ciencias geológicas	2021-01-10	kevin	wong	male	20	1852	burzaco	adrian33@yahoo.com
universidad de palermo	ingeniería en informática	2021-01-05	tara	obrien	female	21	1678	caseros	mooretracy@yahoo.com
universidad de palermo	licenciatura en planificación y diseño del paisaje	2021-01-02	alec	barron	male	21	5503	paso de los andes	karamartinez@yahoo.com
universidad de palermo	licenciatura en relaciones del trabajo	2021-01-28	steven	james	male	43	4157	arroyo mal paso	kristinawebb@gmail.com
universidad de palermo	bioquímica	2021-01-24	nathan	pham	male	21	6000	barrio carosio	codyhall@gmail.com
universidad de palermo	licenciatura en sociología	2021-01-15	melissa	taylor	female	50	5529	colonia bombal	halljohn@hotmail.com
universidad de palermo	licenciatura en ciencias geológicas	2021-01-26	david	kennedy	male	21	7114	canal 15 cerro de la gloria	beardjames@gmail.com
universidad de palermo	licenciatura en administración	2021-01-31	yvonne	ross	female	21	1617	el talar	youngbeverly@yahoo.com
universidad de palermo	licenciatura en ciencias ambientales	2021-01-26	mike	patterson	male	21	6746	cucha cucha	blakebruce@hotmail.com
universidad de palermo	licenciatura en ciencias de la educación	2021-01-29	kimberly	perez	female	21	6538	la dorita	xwells@gmail.com
universidad de palermo	licenciatura en artes	2021-01-09	samuel	olsen	male	25	3158	20 de septiembre	ksoto@hotmail.com
universidad de palermo	licenciatura en ciencia política	2021-01-26	michael	diaz	male	44	9220	cañadon la madera	wbean@hotmail.com
universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2021-01-15	michael	west	male	40	1647	zona delta san fernando	sullivandavid@hotmail.com
universidad de palermo	actuario	2021-01-27	teresa	richardson	female	36	3283	colonia mabragaña	anthonycarr@hotmail.com
universidad de palermo	ingeniería en informática	2021-01-02	jason	taylor	male	21	2729	carreras	burtonkevin@yahoo.com
universidad de palermo	ingeniería electrónica	2021-01-11	briana	gilbert	female	21	3701	almirante brown	kellymiller@yahoo.com
universidad de palermo	licenciatura en artes	2021-01-23	ashley	goodman	female	31	9300	cañadon de las vacas	lgreen@yahoo.com
universidad de palermo	diseño industrial	2021-01-17	charles	brown	male	22	6312	ricardo lavalle	lance36@gmail.com
universidad de palermo	licenciatura en ciencias de la educación	2021-01-25	stacy	wheeler	female	21	3272	colonia 1 de mayo	dwilson@yahoo.com
universidad de palermo	licenciatura en musicoterapia	2021-01-15	joseph	cooper	male	21	5446	balde de leyes	emmaedwards@gmail.com
universidad de palermo	licenciatura en sociología	2021-01-29	michael	wallace	male	21	3150	algarrobitos 1ro	robertnunez@hotmail.com
universidad de palermo	licenciatura en ciencias geológicas	2021-01-30	brandon	stephens	male	21	3460	arroyo castillo	johnjohnson@yahoo.com
universidad de palermo	ingeniería electrónica	2021-01-29	mary	alvarado	female	21	8332	colonia rusa	anajohnson@gmail.com
universidad de palermo	licenciatura en sociología	2021-01-27	valerie	ryan	female	21	3111	almacen cristian schubert	pcortez@hotmail.com
universidad de palermo	licenciatura en gestión de agroalimentos	2021-01-29	tracy	serrano	male	37	5463	alto huaco	andrewsmith@hotmail.com
universidad de palermo	licenciatura en gestión de agroalimentos	2021-01-31	michael	lopez	male	21	6667	agustin mosconi	dustin69@gmail.com
universidad de palermo	ciencias veterinarias	2021-01-08	kelly	reeves	female	21	2119	arminda	wellsnatalie@hotmail.com
universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2021-01-02	keith	guerrero	male	21	6614	franklin	robertmurphy@hotmail.com
universidad de palermo	medicina	2021-01-10	nicole	day	female	35	7109	barrio pedro rocco	harpersusan@hotmail.com
universidad de palermo	contador público	2021-01-29	holly	willis	female	27	6053	el peregrino	dunnjamie@gmail.com
universidad de palermo	licenciatura en terapia ocupacional	2021-01-20	alexis	price	female	22	2914	costa brava	james98@gmail.com
universidad de palermo	medicina	2021-01-05	jacob	pruitt	male	21	3127	alcete	shawnmccarty@gmail.com
universidad de palermo	contador público	2021-01-02	monica	ochoa	female	21	7547	cascada	elliscarol@yahoo.com
universidad de palermo	medicina	2021-01-03	ricky	carter	male	21	8148	estancia las isletas	marvin19@hotmail.com
universidad de palermo	actuario	2021-01-21	adam	munoz	male	21	4612	carahunco	travissanchez@yahoo.com
universidad de palermo	agronomía	2021-01-13	tiffany	griffith	female	30	6348	bocayuba	meyersdaniel@gmail.com
universidad de palermo	técnico para bioterios	2021-01-18	ryan	turner	male	21	5779	la chilca	donnawilkerson@yahoo.com
universidad de palermo	técnico para bioterios	2021-01-08	michael	carter	male	21	2415	desvio boero	misty14@yahoo.com
universidad de palermo	medicina	2021-01-13	dean	boone	male	21	3706	avia terai	kristinlopez@yahoo.com
universidad de palermo	farmacia	2021-01-06	edward	johnson	male	21	4115	agua azul	shirley70@gmail.com
universidad de palermo	diseño industrial	2021-01-08	patricia	robinson	female	21	6743	coliqueo	shaneshort@yahoo.com
universidad de palermo	licenciatura en sociología	2021-01-10	sheila	carter	female	21	1733	plomer	mbrown@yahoo.com
universidad de palermo	medicina	2021-01-21	patricia	ellis	female	21	8305	aguada san roque	joshuanichols@gmail.com
universidad de palermo	bioquímica	2021-01-25	jordan	chapman	male	21	6237	america	ashleybaker@yahoo.com
universidad de palermo	licenciatura en ciencias antropológicas	2021-01-14	michelle	tran	female	21	2521	iturraspe	riveracourtney@yahoo.com
universidad de palermo	licenciatura en ciencias ambientales	2021-01-25	andrea	smith	female	21	2340	ceres	medinabruce@gmail.com
universidad de palermo	licenciatura en planificación y diseño del paisaje	2021-01-20	christopher	howard	male	21	2501	berretta	qhansen@gmail.com
universidad de palermo	licenciatura en kinesiología y fisiatría	2021-01-18	michael	wright	male	21	2740	almacen la colina	jessica73@gmail.com
universidad de palermo	diseño industrial	2021-01-08	ronald	strickland	male	21	7609	balneario la caleta	brian14@yahoo.com
universidad de palermo	licenciatura en producción de bioimagenes	2021-01-12	adam	booker	male	21	5331	andalucia	kara90@gmail.com
universidad de palermo	contador público	2021-01-19	stephen	nguyen	male	19	2206	campo paletta	stevendaniel@hotmail.com
universidad de palermo	ingeniería electrónica	2021-01-10	stephanie	solis	female	21	3118	centro comunitario cnia nue	xstephenson@hotmail.com
universidad de palermo	ingeniería mecánica	2021-01-24	maria	nguyen	female	21	8504	cantera villalonga	matthewgilbert@hotmail.com
universidad de palermo	medicina	2021-01-11	eric	brady	male	21	7200	el gualicho	beardsamantha@hotmail.com
universidad de palermo	licenciatura en kinesiología y fisiatría	2021-01-13	dawn	robles	female	34	2631	cora	justin11@hotmail.com
universidad de palermo	ingeniería mecánica	2021-01-24	brandon	schultz	male	21	1659	campo de mayo	andrea75@gmail.com
universidad de palermo	licenciatura en ciencias geológicas	2021-01-14	devon	harris	male	21	5541	algarrobal abajo	ngarcia@gmail.com
universidad de palermo	ingeniería electrónica	2021-01-11	todd	morgan	male	21	1755	rafael castillo	brentmeyer@hotmail.com
universidad de palermo	ingeniería electrónica	2021-01-22	brad	martin	male	21	2124	22 de mayo	jimenezjoshua@gmail.com
universidad de palermo	agronomía	2021-01-18	dakota	cardenas	male	21	6641	comodoro py	jason20@yahoo.com
universidad de palermo	licenciatura en terapia ocupacional	2021-01-06	jamie	sutton	female	36	1881	san francisco solano	johnsonanthony@gmail.com
universidad de palermo	licenciatura en gestión de agroalimentos	2021-01-26	karl	campos	male	21	5771	alanices	frenchphillip@yahoo.com
universidad de palermo	contador público	2021-01-15	steven	anderson	male	24	3013	colonia matilde	wcox@gmail.com
universidad de palermo	bioquímica	2021-01-16	amy	willia	female	21	3371	cabure	rmoore@hotmail.com
universidad de palermo	ingeniería en informática	2021-01-30	shannon	duncan	female	21	3381	maria magdalena	newmanbrittany@hotmail.com
universidad de palermo	diseño de imagen y sonido	2021-01-22	cheryl	nguyen	female	47	6330	arturo almaraz	terriwinters@hotmail.com
universidad de palermo	licenciatura en sociología	2021-01-10	tiffany	nguyen	female	21	2848	berisso	vjones@yahoo.com
universidad de palermo	licenciatura en ciencias de la educación	2021-01-12	raymond	irwin	male	21	6237	america	christopher26@hotmail.com
universidad de palermo	medicina	2021-01-16	matthew	rodriguez	male	21	3027	la pelada	steve44@yahoo.com
universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2021-01-09	joel	herrera	male	21	5523	buena nueva	joshua08@hotmail.com
universidad de palermo	ciencias veterinarias	2021-01-20	kimberly	evans	female	21	4431	aguas calientes	lbrown@hotmail.com
universidad de palermo	licenciatura en ciencia política	2021-01-20	mackenzie	dominguez	female	21	4434	anta	stephanie22@yahoo.com
universidad de palermo	arquitectura	2021-01-02	lisa	ward	female	21	1881	san francisco solano	yhunter@yahoo.com
universidad de palermo	medicina	2021-01-09	linda	jacobson	female	21	2535	el trebol	pauljames@gmail.com
universidad de palermo	licenciatura en ciencias biológicas	2021-01-07	bradley	hurst	male	21	6703	alastuey	devans@gmail.com
universidad de palermo	licenciatura en ciencias geológicas	2021-01-01	pamela	carey	female	21	3338	17 de agosto	iknight@hotmail.com
universidad de palermo	ingeniería mecánica	2021-01-18	andrew	lopez	male	21	6319	carro quemado	yvonne27@hotmail.com
universidad de palermo	ingeniería electrónica	2021-01-17	thomas	martinez	male	21	5620	el juncalito	krystalkaufman@gmail.com
universidad de palermo	licenciatura en ciencia política	2021-01-04	ashley	stevens	female	21	9313	cara mala	ugriffin@hotmail.com
universidad de palermo	licenciatura en ciencias de la computación	2021-01-24	tracy	brooks	female	21	3177	altamirano norte	duane58@yahoo.com
universidad de palermo	licenciatura en administración	2021-01-18	steven	kline	male	33	4166	balderrama	lopezkevin@hotmail.com
universidad de palermo	licenciatura en producción de bioimagenes	2021-01-03	judith	douglas	female	21	5759	calera argentina	choffman@hotmail.com
universidad de palermo	licenciatura en planificación y diseño del paisaje	2021-01-14	anthony	campbell	male	21	5405	agua y energia	jhayes@hotmail.com
universidad de palermo	licenciatura en ciencias biológicas	2021-01-27	nichole	hardin	female	21	3232	cabred	hannahaustin@gmail.com
universidad de palermo	licenciatura en ciencias de la educación	2021-01-10	phillip	sandoval	male	21	3701	almirante brown	madisonnovak@yahoo.com
universidad de palermo	arquitectura	2021-01-07	hannah	sanchez	female	21	1981	desvio kilometro 55	andrewdickson@hotmail.com
universidad de palermo	licenciatura en ciencias ambientales	2021-01-24	alexander	white	male	21	8201	25 de mayo	sanchezpamela@yahoo.com
universidad de palermo	licenciatura en sociología	2021-01-03	candice	thompson	female	21	1931	punta lara	brian42@yahoo.com
universidad de palermo	licenciatura en ciencias geológicas	2021-01-02	michelle	lynch	female	21	7530	coronel pringles	aaron91@gmail.com
universidad de palermo	diseño industrial	2021-01-13	jennifer	gibson	female	22	2138	carcaraña	qmueller@yahoo.com
universidad de palermo	licenciatura en producción de bioimagenes	2021-01-09	michael	hays	male	21	1663	muñiz	warnercourtney@yahoo.com
universidad de palermo	agronomía	2021-01-01	ashley	graves	female	21	6538	la dorita	halljonathan@hotmail.com
universidad de palermo	licenciatura en ciencias de la educación	2021-01-24	diana	wood	female	21	2177	bigand	zphillips@yahoo.com
universidad de palermo	licenciatura en kinesiología y fisiatría	2021-01-17	corey	harper	male	31	6338	leubuco	aliciareed@gmail.com
universidad de palermo	actuario	2021-01-08	heather	drake	female	45	9213	cañadon caliente	owade@yahoo.com
universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2021-01-14	tiffany	cobb	female	21	4750	agua colorada	michaelpeterson@gmail.com
universidad de palermo	agronomía	2021-01-08	eric	ramos	male	34	1754	san justo	leedavid@hotmail.com
universidad de palermo	arquitectura	2021-01-16	claire	turner	female	32	3324	gobernador roca	margaretsharp@gmail.com
universidad de palermo	farmacia	2021-01-03	haley	wilcox	female	21	6550	bolivar	ydowns@gmail.com
universidad de palermo	actuario	2021-01-08	shannon	harmon	female	21	7221	francisco berra	april91@hotmail.com
universidad de palermo	licenciatura en kinesiología y fisiatría	2021-01-29	james	calderon	male	21	2720	colon	pettycheryl@hotmail.com
universidad de palermo	licenciatura en planificación y diseño del paisaje	2021-01-31	brenda	russell	female	21	1909	arana	alexandriapeck@gmail.com
universidad de palermo	licenciatura en ciencias geológicas	2021-01-13	sierra	sherman	female	21	8363	colonia josefa	aaronsmith@yahoo.com
universidad de palermo	diseño industrial	2021-01-10	robert	johnston	male	30	3246	achiras	pamelahernandez@hotmail.com
universidad de palermo	licenciatura en sociología	2021-01-01	patricia	reynolds	female	34	3044	gobernador crespo	christopher47@hotmail.com
universidad de palermo	licenciatura en ciencias ambientales	2021-01-09	ian	patterson	male	21	3555	campo huber	joannamooney@yahoo.com
universidad de palermo	licenciatura en kinesiología y fisiatría	2021-01-02	erik	monroe	male	21	1748	general rodriguez	nrivera@gmail.com
universidad de palermo	licenciatura en ciencias geológicas	2021-01-01	christina	freeman	female	35	4168	agua blanca	kturner@gmail.com
universidad de palermo	bioquímica	2021-01-24	michael	lowery	male	21	7267	alvarez de toledo	farmercrystal@gmail.com
universidad de palermo	ingeniería electrónica	2021-01-26	kelsey	hurley	female	21	4146	barrio belgrano	tinabrown@gmail.com
universidad de palermo	licenciatura en ciencia política	2021-01-15	joy	gordon	female	21	6601	altamira	wilkersonlisa@hotmail.com
universidad de palermo	diseño industrial	2021-01-07	steven	cooper	male	28	5612	valle de las leñas	patricia32@yahoo.com
universidad de palermo	licenciatura en ciencias ambientales	2021-01-28	pamela	robertson	female	46	5700	alto blanco	lyonstaylor@gmail.com
universidad de palermo	licenciatura en administración	2021-01-29	matthew	figueroa	male	39	3403	aguirre cue	angelalee@yahoo.com
universidad de palermo	arquitectura	2021-01-29	kevin	franco	male	21	4231	albigasta	janice50@yahoo.com
universidad de palermo	diseño de imagen y sonido	2021-01-19	dr	patricia	female	21	6474	campo aristimuño	tfoley@gmail.com
universidad de palermo	licenciatura en ciencias de la educación	2021-01-02	anthony	scott	male	21	3020	campo santo domingo	ffriedman@hotmail.com
universidad de palermo	actuario	2021-01-08	eric	jones	male	21	3032	nelson	grantglover@gmail.com
universidad de palermo	licenciatura en ciencia política	2021-01-27	kyle	anderson	male	27	6242	drabble	steven56@gmail.com
universidad de palermo	diseño de imagen y sonido	2021-01-29	andrew	powers	male	43	2505	campo la riviere	brownryan@hotmail.com
universidad de palermo	licenciatura en planificación y diseño del paisaje	2021-01-03	wesley	blanchard	male	21	6009	san marcelo	michael87@hotmail.com
universidad de palermo	licenciatura en kinesiología y fisiatría	2021-01-07	jeremy	barber	male	21	7318	colonia hinojo	katherinedelgado@hotmail.com
universidad de palermo	licenciatura en producción de bioimagenes	2021-01-12	patrick	merritt	male	19	4512	agua negra	thomas38@yahoo.com
universidad de palermo	técnico para bioterios	2021-01-10	leslie	lee	female	21	8532	arroyo salado	fbradshaw@gmail.com
universidad de palermo	licenciatura en musicoterapia	2021-01-02	ashley	burgess	female	21	2134	roldan	wstout@hotmail.com
universidad de palermo	licenciatura en producción de bioimagenes	2021-01-13	jermaine	tucker	male	24	1846	adrogue	nicholasjackson@hotmail.com
universidad de palermo	medicina	2021-01-17	michele	jones	female	21	5701	11 de mayo	leslieburgess@gmail.com
universidad de palermo	ingeniería electrónica	2021-01-16	david	bailey	male	21	1901	estacion moreno	brandonmiller@gmail.com
universidad de palermo	arquitectura	2021-01-29	jonathan	barber	male	21	1617	el talar	anthonyguzman@yahoo.com
universidad de palermo	licenciatura en gestión de agroalimentos	2021-01-05	dr	danny	male	50	3700	barrio gral jose de san martin	karen53@hotmail.com
universidad de palermo	licenciatura en administración	2021-01-11	gene	perez	male	21	4741	agua de las palomas	davismichelle@hotmail.com
universidad de palermo	licenciatura en ciencias geológicas	2021-01-18	david	coleman	male	38	2156	arsenal de guerra san lorenzo	jonathan87@yahoo.com
universidad de palermo	licenciatura en ciencias ambientales	2021-01-06	daisy	bautista	female	21	6509	del valle	oliviamoore@yahoo.com
universidad de palermo	licenciatura en administración	2021-01-18	tom	torres	male	21	4101	agua negra	nmcbride@yahoo.com
universidad de palermo	ciencias veterinarias	2021-01-14	mark	mckinney	male	21	5447	agua cercada	evansmichael@hotmail.com
universidad de palermo	licenciatura en ciencias antropológicas	2021-01-09	aaron	orr	male	21	3272	colonia 1 de mayo	william60@hotmail.com
universidad de palermo	licenciatura en ciencias ambientales	2021-01-25	sarah	edwards	female	34	6725	carmen de areco	amyharrington@gmail.com
universidad de palermo	licenciatura en sociología	2021-01-27	patricia	thomas	female	21	6311	campo de los toros	pjohnson@hotmail.com
universidad de palermo	diseño de imagen y sonido	2021-01-25	joshua	bailey	male	30	1828	banfield	rhonda33@gmail.com
universidad de palermo	bioquímica	2021-01-25	jeffrey	baker	male	21	5533	9 de julio	rachelbailey@gmail.com
universidad de palermo	técnico para bioterios	2021-01-14	donald	gregory	male	36	1927	esc nav militar rio sant	qlyons@hotmail.com
universidad de palermo	medicina	2021-01-11	dr	veronica	female	21	3127	alcete	christinemiller@gmail.com
universidad de palermo	diseño de imagen y sonido	2021-01-07	christina	schroeder	female	26	8333	aguada guzman	roy57@gmail.com
universidad de palermo	agronomía	2021-01-12	douglas	willia	male	34	5411	la legua	carla74@hotmail.com
universidad de palermo	licenciatura en producción de bioimagenes	2021-01-07	amy	smith	female	21	4633	san pedro de iruya	lisa40@yahoo.com
universidad de palermo	licenciatura en planificación y diseño del paisaje	2021-01-04	victoria	wilson	female	21	3197	abra guazu	qlee@yahoo.com
universidad de palermo	agronomía	2021-01-09	olivia	romero	female	31	6561	blanca grande	hartsamantha@gmail.com
universidad de palermo	farmacia	2021-01-01	samantha	ruiz	female	21	5573	colonia delfino	amy09@yahoo.com
universidad de palermo	licenciatura en ciencias de la educación	2021-01-15	mary	love	female	21	8133	la rosa	fowlerjesse@yahoo.com
universidad de palermo	licenciatura en terapia ocupacional	2021-01-03	erica	gonzalez	female	21	1981	desvio kilometro 55	smithlinda@hotmail.com
universidad de palermo	licenciatura en kinesiología y fisiatría	2021-01-15	jimmy	brown	male	21	2144	campo horquesco	reevesjames@hotmail.com
universidad de palermo	licenciatura en musicoterapia	2021-01-14	ashley	aguilar	female	21	3180	diego lopez	akent@yahoo.com
universidad de palermo	licenciatura en ciencias ambientales	2021-01-05	henry	bruce	male	21	3142	alcaracito	williamsonmichael@yahoo.com
universidad de palermo	diseño industrial	2021-01-07	james	jackson	male	21	6451	ancon	michael65@yahoo.com
universidad de palermo	licenciatura en psicología	2021-01-30	kevin	duncan	male	21	5733	cramer	wilkersonkaren@yahoo.com
universidad de palermo	diseño de imagen y sonido	2021-01-19	james	leon	male	21	4705	aguadita	angela13@hotmail.com
universidad de palermo	ingeniería mecánica	2021-01-10	bryan	taylor	male	25	1638	vicente lopez	padillakaren@hotmail.com
universidad de palermo	ingeniería electrónica	2021-01-28	jennifer	strickland	female	48	5386	amana	james94@hotmail.com
universidad de palermo	licenciatura en ciencia y tecnología de alimentos	2021-01-23	annette	franco	female	41	3048	angeloni	lisa25@gmail.com
universidad de palermo	diseño de imagen y sonido	2021-01-23	melissa	villanueva	female	21	3117	aldea san antonio	emilymcgee@gmail.com
universidad de palermo	licenciatura en planificación y diseño del paisaje	2021-01-19	kathryn	butler	female	29	5463	alto huaco	griffinmatthew@gmail.com
universidad de palermo	licenciatura en ciencias ambientales	2021-01-22	robert	sawyer	male	21	3117	aldea san antonio	harolddavis@yahoo.com
universidad de palermo	actuario	2021-01-31	craig	rojas	male	21	5444	ampacama	tonycampbell@gmail.com
universidad de palermo	licenciatura en relaciones del trabajo	2021-01-26	john	garner	male	21	6513	colonia las yescas	vwilson@gmail.com
universidad de palermo	licenciatura en sociología	2021-01-15	kelly	walker	female	21	6277	buena esperanza	wbraun@hotmail.com
universidad de palermo	licenciatura en ciencias geológicas	2021-01-26	jeffrey	lewis	male	21	7311	chillar	cgarza@hotmail.com
universidad de palermo	actuario	2021-01-09	tiffany	diaz	female	35	2812	capilla del señor	christopher46@hotmail.com
universidad de palermo	licenciatura en ciencias ambientales	2021-01-26	jennifer	nichols	female	21	1647	zona delta san fernando	justinpayne@yahoo.com
universidad de palermo	licenciatura en sociología	2021-01-21	samantha	harding	female	40	7509	oriente	jessicabarrett@yahoo.com
universidad de palermo	licenciatura en ciencia política	2021-01-01	jordan	cole	male	21	5537	algarrobito	rachael35@gmail.com
universidad de palermo	licenciatura en kinesiología y fisiatría	2021-01-29	courtney	robbins	female	21	7160	la union	tknapp@gmail.com
universidad de palermo	licenciatura en planificación y diseño del paisaje	2021-01-18	ryan	diaz	male	21	5719	agua amarga	mhardy@hotmail.com
universidad de palermo	licenciatura en administración	2021-01-12	david	hart	male	21	4411	sey	robert71@yahoo.com
universidad de palermo	agronomía	2021-01-13	bruce	davis	male	34	9111	bahia bustamante	fullerkenneth@gmail.com
universidad de palermo	diseño industrial	2021-01-18	katelyn	rivera	female	21	5831	9 de julio	davisdavid@yahoo.com
universidad de palermo	diseño industrial	2021-01-18	s	elizabeth	female	30	5560	arroyo claro	howelljoshua@yahoo.com
universidad de palermo	licenciatura en gestión de agroalimentos	2021-01-24	karen	roy	female	31	5582	alberto flores	laura79@yahoo.com
universidad de palermo	diseño industrial	2021-01-10	patrick	harmon	male	21	2609	colonia morgan	rachelwilliams@yahoo.com
universidad de palermo	licenciatura en administración	2021-01-14	david	harmon	male	21	5733	cramer	mgarcia@gmail.com
